Startup,Location,Sector,Date,Amount (US$),Investors,Stage,Debt/Equity,Female co-founder/CEO?,Local founder?,Intnl founder?,Launched?,Accelerator?,Employees,Funding Year
MaxAB,Egypt,e-commerce,October,"40,000,000.00","Silver Lake, British International Investment (BII), and DisruptAD, ADQ’s venture platform. The round also includes participation from existing investors Beco Capital, 4DX Ventures, Flourish Ventures and Africa Platform Capital. ",Pre-Series B,Equity,No,Yes,No,2018,Yes,1060,2022
Hoods,Egypt,e-commerce,November,"350,000.00",valU,Undisclosed,Equity,No,Yes,No,2020,No,22,2022
Brotinni,Egypt,e-commerce,November,"600,000.00",Innlife investments,Seed,Equity,Yes,Yes,No,2020,No,1,2022
SIDEUP,Egypt,e-commerce,December,"1,200,000.00","Launch Africa Ventures, 500 Global, Riyadh Angels, Alex Angels, Al Tuwaijri Fund and Saudi angel investor Faisal AlAbdulsalam. ",Seed,Equity,No,Yes,No,2019,No,37,2022
Mahaseel Masr,Egypt,e-commerce,December,,Emirates International Investment Company (EIIC),Undisclosed,Equity,No,Yes,No,2021,No,17,2022
Muqbis,Egypt,e-commerce,December,,Nama Ventures,Pre-seed,Equity,Yes,Yes,No,2021,No,2,2022
Copia Global,Kenya,e-commerce,January,"50,000,000.00","Goodwell Investments and also features previous investors Lightrock, the German development finance institution DEG, and Perivoli Innovations, as well as new investors Zebu Investment Partners, the US International Development Finance Corporation (DFC), and Koa Labs. ",Series C,Equity,No,No,Yes,2013,No,309,2022
Badili,Kenya,e-commerce,February + December,"150,000.00","SOSV (February), Venture Catalysts, V&R Africa, Grenfell holdings and SOSV participated in the round, as did family offices and angel investors from Kenya, Nigeria, South Africa and India.",Undisclosed,Equity,No,Yes,No,2021,Yes,14,2022
Powered by People,Kenya,e-commerce,March,"5,000,000.00","Susa Ventures and Golden Ventures, with participation from a number of investors, including Flexport Ventures, J Ventures and the founders of DraftKings, Fabric.",Seed,Equity,Yes,No,Yes,2019,No,49,2022
TuShop,Kenya,e-commerce,April,"3,000,000.00","4DX Ventures with participation from JAM Fund, Breyer Capital, Chandaria Capital, TO Ventures, Golden Palm Investments, FirstCheck Africa, DFS Lab, Wasoko",Pre-seed,Equity,No,Yes,No,2021,No,26,2022
Kapu,Kenya,e-commerce,December,"8,000,000.00","Giant Ventures, Firstminute Capital, Founder Collective, Base Capital, Norrsken, Raven One",Seed,Equity,No,Yes,Yes,2022,No,59,2022
Shop Zetu,Kenya,e-commerce,,,Launch Africa,Undisclosed,Equity,Yes,Yes,No,2019,No,16,2022
Clickatell,South Africa,e-commerce,February,"91,000,000.00","Arrowroot Capital, with participation from Kennedy Lewis Investment Management, Endeavor Global and Harvest.",Series C,Equity,No,Yes,No,2000,No,331,2022
Rentoza,South Africa,e-commerce,June,"1,300,000.00",MIC Khulisani Ventures,Undisclosed,Equity,No,Yes,No,2017,Yes,59,2022
Lemon,South Africa,e-commerce,September,"50,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2021,Yes,3,2022
Yaga,South Africa,e-commerce,November,"2,300,000.00","Startup Wise Guys, Trind Ventures, Specialist VC, Rubylight, Angel Investors",Undisclosed,Equity,Yes,Yes,No,2019,No,17,2022
Save Your Wardrobe,Tunisia,e-commerce,June,"3,000,000.00",,Undisclosed,Equity,Yes,Yes,Yes,2022,Yes,31,2022
MyMall,Tunisia,e-commerce,,"65,000.00",Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2020,Yes,3,2022
WafR ,Morocco,e-commerce,"February, April, November","1,567,000.00","Launch Africa Ventures, First Circle Capital, WeLoveBuzz and other business angels (April), First Circle Capital (November)",Seed,Equity,No,Yes,No,2021,No,9,2022
Guichet,Morocco,e-commerce,March,"309,000.00",212 Founders,Undisclosed,Equity,No,Yes,No,2019,Yes,9,2022
Nessiam,Morocco,e-commerce,April,"306,000.00",212 Founders,Undisclosed,Equity,No,Yes,No,2021,Yes,2,2022
Justyol,Morocco,e-commerce,December,"350,000.00",Earn Rocket Investment Holding,Pre-seed,Equity,No,Yes,No,2022,No,8,2022
Lnko,Morocco,e-commerce,,,"Launch Africa, Five35",Seed,Equity,Yes,Yes,No,2020,No,20,2022
Afrikamart,Senegal,e-commerce,June + November,"1,100,000.00","Bamboo Capital Partners, Orange Ventures, Launch Africa and Teranga Capital (June), Katapult (November)",Seed,Equity,No,Yes,No,2018,Yes,14,2022
Kasha,Rwanda,e-commerce,,,"Beyond Capital Ventures, others",Pre-Series A,Equity,Yes,No,Yes,2016,Yes,102,2022
AMP Global,Mauritius,e-commerce,May,,"MaC Venture Capital, Angel Investors",Seed,Equity,No,Yes,No,2014,Yes,23,2022
Fidia,Nigeria,retail-tech,January,"125,000.00",On Deck,Undisclosed,Equity,No,Yes,No,2020,Yes,3,2022
Simpu,Nigeria,retail-tech,April,"1,120,000.00",Techstars,Pre-seed,Equity,No,Yes,No,2020,Yes,23,2022
Betastore,Nigeria,retail-tech,May,"2,500,000.00","500 Global, VestedWorld and Loyal VC",Pre-Series A,Equity,No,Yes,No,2021,No,9,2022
Omnibiz,Nigeria,retail-tech,August,"15,000,000.00","Timon Capital. Ventures Platform, LoftyInc Capital Management, Chapel Hill Denham, Chandaria Capital and Musha Ventures also participated in the round",Pre-Series A,Equity,No,No,Yes,2019,No,563,2022
Catlog,Nigeria,retail-tech,September,,"Ventures Platform, UAC Nigeria, VFD Group, Angel Investors",Undisclosed,Equity,No,Yes,No,2021,Yes,10,2022
ExpandCart,Egypt,retail-tech,January,"2,700,000.00","Betatron Venture Group, with participation from existing investors Sawari Ventures and Agility Ventures.",Pre-Series B,Equity,No,Yes,No,2016,Yes,179,2022
Cartona,Egypt,retail-tech,July,"12,000,000.00","Silicon Badia, SANAD Fund for MSME, Arab Bank Accelerator and Sunny Side Ventures. Existing investors Global Ventures and Kepple Africa Ventures also doubled down.",Series A,Equity,No,Yes,No,2020,No,257,2022
El-Dokan,Egypt,retail-tech,September,"550,000.00","EFG EV, Flat6Labs, 500 Global and Hala Ventures. ",Pre-seed,Equity,No,Yes,No,2020,Yes,34,2022
Sukhiba,Kenya,retail-tech,January,"125,000.00",On Deck,Undisclosed,Equity,No,Yes,No,2020,Yes,8,2022
Mwingi,Kenya,retail-tech,January,"850,000.00",,Undisclosed,Equity,Yes,Yes,Yes,2019,No,10,2022
MarketForce,Kenya,retail-tech,February,"40,000,000.00","V8 Capital Partners, a London and Lagos-based African-focused investment vehicle, with participation from Ten13 VC, SOSV Select Fund, Vu Ventures and Vastly Valuable Ventures.",Series A,Equity / debt,No,Yes,No,2018,Yes,115,2022
Cartnshop,Kenya,retail-tech,February,"400,000.00",,Undisclosed,Equity,No,Yes,No,2018,No,1,2022
Wasoko,Kenya,retail-tech,March,"125,000,000.00","Tiger Global, the world’s largest venture capital firm, and Avenir Growth Capital, and also includes participation from a host of leading names including VNV Global, Flipkart co-founder Binny Bansal and Udaan co-founder Sujeet Kumar. Existing investors Quona Capital, 4DX Ventures and JAM Fund ",Series B,Equity,No,No,Yes,2016,Yes,645,2022
Dukapepe,Kenya,retail-tech,March,"71,000.00",Startup Wise Guys,Undisclosed,Equity,Yes,Yes,No,2017,Yes,8,2022
Elloe,Kenya,retail-tech,April,"1,000,000.00",Mad Ventures,Pre-seed,Equity,No,Yes,No,2021,No,13,2022
Bamba,Kenya,retail-tech,May,"3,200,000.00","468 Capital, with participation from Presight Ventures, Jigsaw VC, and high profile angels Mato Peric, Leonard Stiegeler, Laurin Hainy and Thomas Stafford.",Seed,Equity,No,No,Yes,2022,No,11,2022
Duhqa,Kenya,retail-tech,July,"2,000,000.00","CrossFund, Roselake Ventures, and Mo Angels, and also featured a number of existing investors, including Techstars and strategic angels.",Seed,Equity,No,Yes,No,2021,Yes,32,2022
Tanda,Kenya,retail-tech,October,,"HAVAIC, DFS Lab",Pre-Series A,Equity,No,Yes,No,2018,Yes,34,2022
TallOrder,South Africa,retail-tech,January,"3,100,000.00","Investec Private Capital, as well as a consortium led by Africa-focused fintech investment firm Nurture Investment Management.",Series A,Equity,No,Yes,No,2014,No,27,2022
Kamioun,Tunisia,retail-tech,,"65,000.00",Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,12,2022
Fenix,Tunisia,retail-tech,,"65,000.00",Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,13,2022
Charu,Morocco,retail-tech,January,,"Khwarizmi Ventures, AirAngels (Airbnb Alumni Investors), and Afri Mobility",Pre-Series A,Equity,Yes,Yes,No,2020,Yes,16,2022
Chari,Morocco,retail-tech,February + October,"1,000,000.00","Village Capital (February), Endeavor Catalyst (October)",Series A,Equity,Yes,Yes,No,2020,Yes,58,2022
Humanitics,Morocco,retail-tech,,,212 Founders / CDG,Undisclosed,Equity,No,Yes,No,2020,Yes,7,2022
Tendo,Ghana,retail-tech,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,12,2022
ProXalys,Senegal,retail-tech,February,"170,000.00","Haskè Ventures, Startupbootcamp AfriTech",Pre-seed,Equity,No,Yes,No,2021,No,7,2022
Ramani,Tanzania,retail-tech,November,"32,000,000.00","Flexcap Ventures and Jared Schreiber, the founder and CEO of Infoscout. Originally backed by Y Combinator, Ramani also raised an undisclosed amount of seed funding in 2021, which included participation from Village Global, Goat Capital, Musha Ventures, Hustle Fund, Future Africa, Launch Africa Ventures, Raba Capital, and angel investor James Beshara. ",Series A,Equity/debt,No,Yes,No,2019,Yes,90,2022
Inalipa,Tanzania,retail-tech,,,Launch Africa,Undisclosed,Equity,No,Yes,No,2020,No,8,2022
Shemach,Ethiopia,retail-tech,September,"50,000.00",The Baobab Network,Undisclosed,Equity,No,Yes,No,2020,Yes,4,2022
Jabu,Namibia,retail-tech,January + May,"18,200,000.00","Afore Capital, Y Combinator, FJ Labs, Quiet Capital, Kli Capital, Pareto Capital and unnamed angels (January), Tiger Global,  Box Group, Knollwood and D Global Ventures. Some backers from its seed round: Afore Capital, Oldslip and FJ Labs also doubled down (May)",Series A,Equity,No,Yes,No,2020,Yes,36,2022
Reliance Health,Nigeria,e-health,February,"40,000,000.00","Partech, Picus Capital, Tencent Exploration, Asia Africa Investment and Consulting (AAIC), P1 Ventures, Laerdal Million Lives Fund, M3, Inc, and Arvantis Social Foundation",Series B,Equity,No,Yes,No,2015,No,151,2022
Remedial Health,Nigeria,e-health,February + September,"5,400,000.00","Global Ventures and Ventures Platform, with participation from Ingressive Capital, Voltron Capital, and angel investment from Flutterwave’s Olugbenga “GB” Agboola, Victor Asemota, Opeyemi Awoyemi’s Angel Syndicate Fund, and other investors (February), Y Combinator (accelerator), Global Ventures, Tencent, Y Combinator, Cathexis Ventures, LightSpeed Venture Partners Scout Fund, Ventures Platform, Alumni Ventures and True Capital Management also participated in the round, which included prominent angel investors such as Guillaume Luccisano and Christopher Golda (September)",Pre-seed/seed,Equity,No,Yes,No,2019,Yes,6,2022
Healthtracka,Nigeria,e-health,June,"1,500,000.00","Ingressive, Hustle and Flying Doctors",Undisclosed,Equity,Yes,Yes,No,2021,Yes,17,2022
Clafiya,Nigeria,e-health,June,"125,000.00",Norrsken,Undisclosed,Equity,Yes,Yes,No,2021,Yes,14,2022
Lifestores,Nigeria,e-health,October,"3,000,000.00","Health54, with Aruwa Capital Management",Series A,Equity,No,Yes,Yes,2020,No,66,2022
AfyA Care,Nigeria,e-health,November,"6,000,000.00",CardinalStone Capital Advisers,Series A,Equity,No,Yes,No,2019,No,55,2022
Pneumacare,Nigeria,e-health,,,Founders Factory Africa,Undisclosed,Equity,Yes,Yes,No,2020,Yes,14,2022
Emergency Response Africa,Nigeria,e-health,,"120,000.00",Techstars,Undisclosed,Equity,Yes,No,No,2018,Yes,26,2022
Nawah Scientific,Egypt,e-health,February,"7,000,000.00","Cairo Angels, LoftyInc",Series A,Equity,No,Yes,No,2015,Yes,55,2022
Chefaa,Egypt,e-health,March,,"Newtown Partners and Global Brain, as well as GMS Capital Partners",Undisclosed,Equity,Yes,Yes,No,2017,Yes,88,2022
OTIDA,Egypt,e-health,March,"340,000.00","LoftyInc Capital Management, with the participation of Flat6Labs, Afropreneurs, Jedar Capital, OQAL Angel Investors, UI Investments and some angel investors. ",Pre-seed,Equity,No,Yes,No,2021,No,9,2022
O7 Therapy,Egypt,e-health,April,"2,100,000.00","Hikma Ventures, with the participation of C-Ventures, Lotus Ventures, and various angel investors.",Seed,Equity,No,Yes,No,2019,No,85,2022
Rology,Egypt,e-health,April,,"Egypt Ventures and Sequence Ventures from Egypt, Waseel and Tawaref from Saudi Arabia, and Viktoria Ventures from Kenya. ",Pre-Series A,Equity,No,Yes,No,2017,Yes,43,2022
Doxx,Egypt,e-health,May,"1,500,000.00",Openner and Elevate Healthcare,Seed,Equity,No,Yes,No,2021,Yes,15,2022
Esaal,Egypt,e-health,May,"1,700,000.00",A15,Seed,Equity,No,Yes,No,2018,No,50,2022
PharmacyMarts,Egypt,e-health,May,,"Launch Africa, Expert Dojo, Plug and Play, Alumni Ventures Group, others",Undisclosed,Equity,No,Yes,No,2021,No,9,2022
5 Quarters,Egypt,e-health,September,,Saudi angel,Seed,Equity,No,Yes,No,2016,No,2,2022
Vezeeta,Egypt,e-health,October,,Gulf Capital and Sweden-based VNV Global.,Undisclosed,Equity,No,Yes,No,2012,No,463,2022
i’SUPPLY,Egypt,e-health,October,"1,500,000.00",Disruptech Ventures,Pre-seed,Equity,No,Yes,No,2021,No,21,2022
Grinta,Egypt,e-health,November,"8,000,000.00","Raed Ventures and Nclude, and also includes Silicon Valley-based Endeavor Catalyst and 500 Global.",Seed,Equity,No,Yes,No,2021,No,96,2022
Melior,Egypt,e-health,,"65,000.00",Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2012,Yes,16,2022
Afya Rekod,Kenya,e-health,February,"2,000,000.00","Mac Venture Capital, with other participants including Next Chymia. ",Seed,Equity,No,Yes,No,2020,No,13,2022
Neural Labs Africa,Kenya,e-health,March,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2020,Yes,7,2022
Zuri,Kenya,e-health,May,"1,300,000.00","DOB Equity, Launch Africa Ventures, Founders Factory Africa, V8 Capital, Platform Capital, Villgro Africa, Asime Ventures, and the Salik Family Trust",Pre-seed,Equity,No,Yes,No,2020,No,47,2022
Ponea Health,Kenya,e-health,May,,,Undisclosed,Equity,No,Yes,No,2019,No,68,2022
Ubenwa,Kenya,e-health,August,"2,500,000.00","Radical Ventures and included participation from previous investor AIX Ventures, Canadian politician Marc Bellemare, business people Pieter Abbeel and Richard Socher, and Hugo Larochelle from Google Brain,winner of the Turing Award Yoshua Bengio. ",Pre-seed,Equity,Yes,Yes,Yes,2017,No,14,2022
MedKit Networks,Kenya,e-health,October,,Ardent Capital,Undisclosed,Equity,No,Yes,No,2018,No,1,2022
MyHealth Africa,Kenya,e-health,December,"1,000,000.00","GIIG Africa Fund, and also saw participation from Samurai VC, a family office, and existing shareholders.",Seed,Equity,No,No,Yes,2017,No,28,2022
HealthLeap,South Africa,e-health,January,"1,100,000.00",Fifty Years,Pre-seed,Equity,Yes,Yes,No,2021,No,7,2022
RapidDeploy,South Africa,e-health,May,,"Nedbank, HAVAIC",Undisclosed,Equity,No,Yes,No,2014,No,111,2022
HealthDart,South Africa,e-health,June,"125,000.00",Norrsken,Undisclosed,Equity,No,Yes,No,2020,Yes,10,2022
BusyMed,South Africa,e-health,September,,E4E Africa,Undisclosed,Equity,No,Yes,No,2018,No,17,2022
Locumbase,South Africa,e-health,September,,Knife Capital,Undisclosed,Equity,Yes,Yes,No,2016,Yes,13,2022
Strove,South Africa,e-health,October,,Lifetime Ventures,Undisclosed,Equity,No,Yes,No,2020,Yes,20,2022
Contro,South Africa,e-health,November,"585,000.00","Plug & Play, iCubed Capital, WZ Capital and the Jozi Angels Network",Pre-seed,Equity,No,Yes,No,2021,No,7,2022
LIQID Medical,South Africa,e-health,November,"1,750,000.00",SAB Foundation,Undisclosed,Equity,No,Yes,No,2016,No,5,2022
RecoMed,South Africa,e-health,,,HAVAIC,Undisclosed,Equity,No,Yes,No,2013,No,34,2022
Impulse Biomedical,South Africa,e-health,,,Launch Africa,Undisclosed,Equity,No,Yes,No,2017,No,10,2022
Ollie,South Africa,e-health,,,Launch Africa,Undisclosed,Equity,No,Yes,No,2020,No,9,2022
EM Guidance,South Africa,e-health,,,Founders Factory Africa,Seed,Equity,No,Yes,No,2016,Yes,39,2022
BlinkPharma,Morocco,e-health,May,,Azur Innovation Fund,Undisclosed,Equity,No,Yes,No,2020,No,8,2022
Deepecho,Morocco,e-health,May,"100,000.00",UM6P Ventures,Undisclosed,Equity,No,Yes,No,2020,Yes,9,2022
Distripha,Morocco,e-health,,,212 Founders / CDG,Undisclosed,Equity,No,Yes,No,2018,Yes,2,2022
Ta7alil,Morocco,e-health,,,212 Founders / CDG,Undisclosed,Equity,Yes,Yes,No,2020,Yes,2,2022
mPharma,Ghana,e-health,January,"35,000,000.00","JAM Fund, a venture capital firm founded by Tinder co-founder Justin Mateen; Unbound, a growth investment firm by Shravin Mittal, the managing director of Bharti Global limited (Bharti family investment arm); and Lux Capital, a New York-based VC firm investing in science and tech ventures (this is the firm’s first investment in Africa). Other investors include Northstar, Social Capital, Novastar and TO Ventures.",Undisclosed,Equity / debt,No,Yes,Yes,2013,No,297,2022
Yemaachi,Ghana,e-health,March,"3,000,000.00","V8 Capital, with LifeLine Family Heritage Fund, Y Combinator, Tencent, LoftyInc Capital, VestedWorld, V Square Capital and Ethan Perlstein also participating.",Seed,Equity,Yes,Yes,No,2020,Yes,24,2022
Carepoint (Africa Health Holding),Ghana,e-health,May,"10,000,000.00","TRB Advisors, Breyer Capital, Beyond Capital Ventures, M3, Inc, Asia Pacific Land, Natural World Limited, Angel Investors",Undisclosed,Equity,No,Yes,No,2017,No,17,2022
Rocket Health,Uganda,e-health,March,"5,000,000.00","Creadev, an evergreen investment firm backed by Mulliez family, with participation of early-stage African investors Grenfell Holdings and LoftyInc Capital Management",Series A,Equity,No,Yes,No,2012,Yes,74,2022
Susu,Ivory Coast,e-health,March,"1,000,000.00",Angel investors,Pre-seed,Equity/debt,Yes,Yes,No,2019,No,68,2022
Tanel Health,Senegal,e-health,January,"125,000.00",On Deck,Undisclosed,Equity,No,Yes,No,2020,Yes,8,2022
Eden Care,Rwanda,e-health,November,,"DOB Equity and also features Seedstars International, Norrsken Foundation, and Bathurst Capital.",Pre-seed,Equity,No,Yes,No,2021,No,24,2022
Waspito,Cameroon,e-health,March,"2,700,000.00","Launch Africa Ventures, Newtown Partners via the Imperial Venture Fund, BLOC Smart Africa managed by Bamboo Capital Partners, Orange Ventures, Saviu Ventures, Plug and Play, and BringCom",Seed,Equity,No,Yes,No,2020,No,31,2022
Sendstack,Nigeria,logistics,January,"125,000.00",On Deck,Undisclosed,Equity,Yes,Yes,No,2021,Yes,1,2022
Heyfood,Nigeria,logistics,February,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,4,2022
Milezmore,Nigeria,logistics,February,"5,000,000.00",Brimore,Pre-seed,Equity,No,Yes,No,2021,No,50,2022
T40,Nigeria,logistics,March + June,"71,000.00",Startup Wise Guys (March),Pre-seed,Equity,No,Yes,No,2020,Yes,19,2022
Kwik,Nigeria,logistics,March,"2,000,000.00","XBTO Ventures, a crypto finance company with a VC arm that invests in digital assets, among other types of startups. New and existing investors such as Humla Ventures, Nabuboto, Ubisoft CEO Yves Guillemot and Pulse Africa founder Leonard Stiegeler participated.",Series A,Equity,No,No,Yes,2018,No,76,2022
ShapShap,Nigeria,logistics,April,,V8 Capital Partners,Seed,Equity,No,Yes,No,2019,No,13,2022
OnePort 365,Nigeria,logistics,April,"5,000,000.00","Mobility 54, the VC arm of Toyota Tsusho and CFAO Group, with participation from SBI Investment, Flexport, ODX, a Singaporean syndicate fund and other strategic angel investors. Samurai Incubate also re-invested after participating in the previous round.",Seed,Equity,No,Yes,No,2019,Yes,38,2022
TopShip,Nigeria,logistics,May,"2,500,000.00","Flexport, Y Combinator, Soma Capital, Starling Ventures, Olive Tree Capital, Capital X and True Capital. The individual investors in the round include Immad Akhund, Mercury CEO and Arash Ferdowsi, co-founder of Dropbox.",Seed,Equity,No,Yes,No,2021,Yes,22,2022
Chowdeck,Nigeria,logistics,July,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,23,2022
FoodCourt,Nigeria,logistics,,"500,000.00",Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,21,2022
Logistics Hub,Nigeria,logistics,October,,Ardent Capital,Undisclosed,Equity,Yes,No,No,2019,No,5,2022
Fez Delivery,Nigeria,logistics,November,"120,000.00",Techstars,Undisclosed,Equity,Yes,Yes,No,2018,Yes,10,2022
Renda,Nigeria,logistics,November,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2020,Yes,32,2022
ShipBubble,Nigeria,logistics,November,"67,000.00",Startup Wise Guys,Undisclosed,Equity,No,Yes,No,2021,Yes,8,2022
Shekel Mobility,Nigeria,logistics,December,"500,000.00","Y Combinator, Ventures Platform",Undisclosed,Equity,No,Yes,No,2021,Yes,8,2022
Yalla Fel Sekka,Egypt,logistics,February,"7,000,000.00",DisruptAD,Series A,Equity,No,Yes,No,2019,No,46,2022
Naqla,Egypt,logistics,March,"10,500,000.00","El Sewedy Capital Holding (SCH), Hassan Allam Holding (HAH), and the Sallam family",Pre-Series A,Equity,No,Yes,No,2017,No,112,2022
Bosta,Egypt,logistics,March,,"Khwarizmi Ventures, along with other current investors in addition to Hassan Allam Holding.",Pre-Series B,Equity,No,Yes,No,2017,Yes,555,2022
Mylerz,Egypt,logistics,May,"9,600,000.00","Lorax Capital Partners, Fawry",Undisclosed,Equity,No,Yes,No,2019,No,185,2022
Gooo Delivery,Egypt,logistics,May,,,Pre-seed,Equity,No,Yes,No,2020,No,4,2022
Bonbell,Egypt,logistics,August,"350,000.00",Canadian angel investor,Undisclosed,Equity,Yes,Yes,No,2022,No,19,2022
Trella,Egypt,logistics,September,,Contact Financial Holding,Undisclosed,Debt,No,Yes,No,2018,Yes,337,2022
Roboost,Egypt,logistics,October,,"Falak Startups, AUC Angels, Flat6Labs",Undisclosed,Equity,No,Yes,No,2020,Yes,18,2022
Voo,Egypt,logistics,,,Launch Africa,Undisclosed,Equity,No,Yes,No,2018,Yes,25,2022
Filtareeq,Egypt,logistics,,"65,000.00",Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,8,2022
Sote,Kenya,logistics,January,"4,000,000.00","Social Capital, Chamath Palihapitiya’s fund, with the firm’s growth partner Ray Ko joining Sote’s board. It also included a small group of investors including Justin Saslow, Harry Hurst of Pipe, MaC Venture Capital, and K50 Ventures.",Seed,Equity,No,Yes,No,2018,No,50,2022
Amitruck,Kenya,logistics,February,"4,000,000.00","Better Tomorrow Ventures (BTV), a San Francisco-based venture capital firm that targets early-stage startups. Also in the round were supply chain and mobility venture capital Dynamo Ventures, Rackhouse Ventures, Flexport, Knuru Capital, Launch Africa Ventures, Uncovered Fund, and several strategic angel investors.",Seed,Equity,No,Yes,No,2019,No,44,2022
OkHi,Kenya,logistics,March,"1,500,000.00","Chapel Hill Denham, Flutterwave’s founder and executives, and EXFI (a syndicate of ex-Googlers)",Seed,Equity,No,No,Yes,2014,Yes,25,2022
SparePap,Kenya,logistics,June,,Mobility 54,Undisclosed,Equity,No,Yes,No,2019,Yes,3,2022
Lori Systems,Kenya,logistics,August,,Google,Undisclosed,Equity,Yes,Yes,Yes,2016,No,187,2022
Sendy,Kenya,logistics,November,,MOL PLUS,Undisclosed,Equity,Yes,Yes,Yes,2014,No,367,2022
Leta,Kenya,logistics,November,"3,000,000.00","4Di Capital, Chandaria Capital, Chui Ventures, PANI, Samurai Incubate, Verdant Frontiers Fintech, Angel Investors",Pre-seed,Equity,No,Yes,No,2021,No,15,2022
Orderin,South Africa,logistics,January,"4,700,000.00",,Pre-Series B,Equity,No,Yes,No,2013,No,138,2022
Droppa,South Africa,logistics,August,,SkyNet,Series A,Equity,No,Yes,No,2016,No,25,2022
Tripplo,South Africa,logistics,August,,Standard Bank,Undisclosed,Equity,No,Yes,No,2019,Yes,13,2022
Drive to Own,South Africa,logistics,September,,Mobility 54,Undisclosed,Equity,No,Yes,No,2017,Yes,1,2022
Yaz,Tunisia,logistics,,"65,000.00",Flat6Labs,Undisclosed,Equity,No,Yes,No,2019,Yes,1,2022
CloudFret,Morocco,logistics,May,"1,000,000.00","Plug and Play, PRC Ventures ICAV, Azur Innovation Fund, AfriMobi, and business angel Khalid Zitouni",Undisclosed,Equity,No,Yes,No,2021,No,8,2022
Logidoo,Morocco,logistics,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2019,No,24,2022
KargoLive,Morocco,logistics,,,212 Founders / CDG,Undisclosed,Equity,No,Yes,No,2022,Yes,1,2022
PAPS,Senegal,logistics,January,"4,500,000.00","4DX Ventures and Orange, with participation from existing investors such as Saviu Ventures and Uma Ventures as well as new investors including Yamaha Motors, LoftyInc Capital Management, Proparco, the Google Black Founders Fund, To.org, Kepple Africa Ventures and Enza Capital.  ",Pre-Series A,Equity,No,Yes,No,2016,No,102,2022
Chargel,Senegal,logistics,March,"750,000.00","Century Oak Capital and Logos Ventures, alongside prominent angel investors from Senegal, Kenya, Ghana and Nigeria.",Pre-seed,Equity,No,Yes,No,2021,No,13,2022
Opticharge,Algeria,logistics,November,,,Undisclosed,Equity,No,Yes,No,2019,No,5,2022
beU Delivery,Ethiopia,logistics,,"500,000.00",Y Combinator,Undisclosed,Equity,Yes,Yes,Yes,2019,Yes,20,2022
Elucid,Madagascar,logistics,November,"150,000.00",Katapult,Undisclosed,Equity,No,Yes,Yes,2022,Yes,15,2022
AltSchool Africa,Nigeria,ed-tech,February,"1,000,000.00","Voltron Capital, NestCoin, Odba VC, and Pledges. Olugbenga Agboola of Flutterwave, Shola Akinlade of Paystack, Dr. Ola Brown, and entertainment personalities, Folarin ‘Falz’ Falana and Akitoye Balogun, popularly known as ‘Ajebutter22’. ",Pre-seed,Equity,No,Yes,No,2021,No,23,2022
Nigenius,Nigeria,ed-tech,March,"71,000.00",Startup Wise Guys,Undisclosed,Equity,No,Yes,No,2018,Yes,18,2022
Klas,Nigeria,ed-tech,March + November,"250,000.00","Voltron Capital, Cabal Fund, Velocity Digital, and HoaQ, as well as a number of prominent members of the African entrepreneurship scene, including Tola Adesanmi (Spleet), Odunayo Eweniyi (Piggyvest), Nadayar Enegesi (Eden Life), Njoku Emmanuel (Lazerpay) and Leonard Stiegeler (Jumia) (March), Techstars (November)",Undisclosed,Equity,No,Yes,No,2021,Yes,9,2022
9jacodekids,Nigeria,ed-tech,April,"350,000.00","Angel investors, and Bolaji Balogun, CEO Chapel Hill Denham.",Seed,Equity,No,Yes,No,2016,No,30,2022
Kibo School,Nigeria,ed-tech,June,"2,000,000.00","led by Neo, a VC firm by the co-founder of Code.org. Future Africa, Pledges, Brooklyn Bridge Ventures, Transcend Network and several angel investors",Seed,Equity,Yes,Yes,Yes,2021,No,27,2022
Kunda Kids,Nigeria,ed-tech,October,,Ardent Capital,Undisclosed,Equity,Yes,No,No,2020,No,14,2022
AlumUnite,Nigeria,ed-tech,,,LoftyInc,Pre-seed,Equity,Yes,Yes,No,2020,No,12,2022
Orcas,Egypt,ed-tech,January,"2,100,000.00","CIRA’s NFX Ventures, Access Bridge Ventures, Algebra Ventures, Launch Africa Ventures, Cairo Angels Syndicate Fund, and Seedstars International",Pre-Series A,Equity,Yes,Yes,No,2017,No,171,2022
OBM Education,Egypt,ed-tech,January + August,,EdVentures,Undisclosed,Equity,No,Yes,No,2020,No,108,2022
